"","Vote 1","Vote 2","Vote 3","Vote 4","Vote 5","Vote 6","Vote 7","Vote 8","Vote 9","Vote 10","Vote 11","Vote 12","Vote 13","Vote 14","Vote 15","Vote 16","Vote 17","Vote 18","Vote 19","Vote 20","Vote 21","Vote 22","Vote 23","Vote 24","Vote 25","Vote 26","Vote 27","Vote 28","Vote 29","Vote 30","Vote 31","Vote 32","Vote 33","Vote 34","Vote 35","Vote 36","Vote 37","Vote 38","Vote 39","Vote 40","Vote 41","Vote 42","Vote 43","Vote 44","Vote 45","Vote 46","Vote 47","Vote 48","Vote 49","Vote 50","Vote 51","Vote 52","Vote 53","Vote 54","Vote 55","Vote 56","Vote 57","Vote 58","Vote 59","Vote 60","Vote 61","Vote 62","Vote 63","Vote 64","Vote 65","Vote 66","Vote 67","Vote 68","Vote 69","Vote 70","Vote 71","Vote 72","Vote 73","Vote 74","Vote 75","Vote 76","Vote 77","Vote 78","Vote 79","Vote 80","Vote 81","Vote 82","Vote 83","Vote 84","Vote 85","Vote 86","Vote 87"
"HUNTER (R KY-11)",NA,NA,NA,NA,NA,NA,1,0,1,0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,1,0,0,1,1,1,0,1,1,1,1,NA,0,1,0,1,0,0,1,1
"BOREING (R KY-11)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MEYER (D LA-1)",1,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0,0,1,NA,1,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,1,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,1,1,NA,1,0,0,NA,NA,NA,NA,1,NA,NA,NA
"DAVEY (D LA-2)",1,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,NA,1,0,NA,NA,0,NA,1,NA,1,1,NA,NA,1,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,1,1,NA,0,0,0,NA,1,0,0,0,0,1,1,NA,1,0,0,NA,NA,0,1,1,1,NA,0
"BROUSSARD (D LA-3)",1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,NA,NA,NA,1,NA,0,1,1,1,NA,NA,0,0,0,0,0,0,0,1,1,NA,1,NA,NA,1,NA,NA,1,1,NA,NA,0
"BREAZEALE (D LA-4)",1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,NA,1,NA,NA,0,NA,NA,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,NA,0,NA,0,1,1,1,NA,NA,0,0,1,0,0,0,0,1,1,NA,1,0,0,NA,0,0,1,NA,1,1,NA
"RANSDELL (D LA-5)",NA,NA,0,0,0,NA,0,1,0,NA,NA,NA,NA,NA,NA,0,1,0,0,1,NA,1,0,1,NA,0,1,NA,NA,NA,NA,NA,0,1,NA,0,NA,0,1,0,0,0,1,0,0,NA,NA,0,0,0,NA,1,0,0,NA,0,0,0,1,0,0,1,1,1,NA,0,0,0,0,0,1,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0
"ROBERTSON (D LA-6)",1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,NA,1,0,1,NA,0,NA,1,0,1,1,NA,NA,1,NA,0,NA,0,1,NA,0,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"PUJO (D LA-7)",1,0,0,0,0,0,NA,NA,0,1,NA,NA,NA,NA,NA,NA,1,0,0,1,1,1,0,1,NA,0,NA,1,0,NA,NA,0,0,1,0,0,0,0,1,NA,0,0,1,0,0,1,0,0,0,0,0,1,0,NA,0,0,0,NA,NA,NA,0,1,1,1,1,0,0,0,0,0,NA,NA,0,1,1,NA,1,0,0,NA,0,0,1,1,1,NA,NA
"ALLEN (R ME-1)",1,1,1,1,1,1,1,0,1,0,NA,NA,NA,0,1,1,0,1,1,NA,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,0,1,1,1,1,NA,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,0,1,NA,1,1,1,0,NA,1,NA,0,0,0,1
"LITTLEFIELD (R ME-2)",1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,0,1,1,0,NA,0,1,1,1,NA,NA,0,1,0,NA,1,1,0,0,NA,NA,NA,NA,NA,1,1,0,1,1,0,1,0,1,1,1,0,1,1,1,1,NA,NA,NA,NA,1,0,0,0,1,1,NA,NA,1,NA,1,1,1,0,1,1,1,1,1,NA,1,1,0,0,NA,0,1
"BURLEIGH (R ME-3)",1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,1,NA,NA,NA,0,1,1,1,0,1,1,NA,1,1,NA,1,NA,NA,0,0,NA,NA
"POWERS (R ME-4)",1,1,1,1,1,NA,1,0,1,NA,NA,NA,NA,1,1,1,0,1,1,1,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,1,0,NA,NA,NA,NA,NA,NA,1,1,1,1,1,0,1,1,1,1,NA,NA,NA,NA,1,NA,1,NA,0,1,NA,NA,NA,NA,1,NA,NA,NA,NA,0,1,1,1,0,1,0,1,1,1,NA,0,NA,NA,NA,NA,1,NA
"JACKSON (R MD-1)",1,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,0,0,0,NA,NA,NA,NA,NA,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,0,1,NA
"TALBOTT (D MD-2)",1,0,0,0,0,NA,NA,NA,NA,NA,1,1,0,NA,NA,0,1,0,NA,1,1,NA,0,NA,0,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,1,1,NA,1,0,NA,0,1,0,NA,0,0,1,1,1,1,0,NA,NA,1,1,NA,1,1,1,NA
"WACHTER (R MD-3)",1,1,1,1,1,1,NA,NA,1,0,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1,1,0,1,1,1,NA,1,0,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,0,NA,NA,0,0,1,1,1,0,1,1,NA,1,1,NA,NA,NA,1,0,0,1,NA
"DENNY (D MD-4)",1,NA,0,0,0,NA,NA,NA,0,1,1,1,0,NA,0,0,NA,NA,NA,1,NA,NA,0,1,0,0,1,1,0,1,1,0,0,1,NA,0,0,0,NA,NA,0,NA,NA,0,NA,1,NA,1,0,0,NA,NA,NA,NA,0,0,NA,0,NA,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,NA,NA,NA,0,1,1,NA,0
"MUDD (R MD-5)",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1,1,1,0,NA,1,NA,1,0,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,0,NA,1,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,1,0,0,0,NA,NA,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,NA,0,0,1,1
"PEARRE (R MD-6)",1,1,NA,NA,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,NA,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAWRENCE (R MA-1)",1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,NA,0,1,1,0,0,0,1,1,1,1,0,0,1,0,0,NA,NA,1,1,1,NA,0,NA,1,1,1,1,1,1,NA,NA,1,1,NA,1,0,1,NA,1,1,1,1,NA,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,NA,1,1,1,0,1,0,NA,0,0,0,1
"GILLET (R MA-2)",1,1,1,1,1,1,1,0,1,0,0,0,1,0,NA,NA,0,1,1,0,0,NA,1,NA,1,1,0,0,1,NA,0,NA,1,0,1,1,1,1,0,NA,1,1,1,NA,1,0,1,1,1,NA,1,0,1,NA,1,1,1,1,1,1,1,0,0,0,1,1,NA,NA,NA,NA,NA,1,1,0,1,1,1,1,1,0,1,NA,NA,0,0,NA,NA
"THAYER (D MA-3)",1,0,0,0,0,NA,NA,NA,NA,NA,NA,1,0,NA,0,0,1,0,0,1,1,0,0,1,0,0,NA,1,NA,0,NA,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,1,0,NA,0,NA,NA,NA,NA,NA,1,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,0,0,1,0,0,NA,1,1,1,0
"TIRRELL (R MA-4)",1,1,1,1,1,NA,1,0,NA,NA,NA,NA,NA,0,1,1,0,1,1,0,NA,NA,1,1,1,1,0,0,1,0,NA,0,1,0,NA,1,1,1,0,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,0,1,1,0,0,0,NA,NA,1,1,1,1,0,1,1,NA,1,1,0,1,NA,NA,0,0,0,NA
"AMES (R MA-5)",1,1,1,1,1,NA,1,0,NA,0,NA,0,1,0,NA,1,0,1,1,NA,NA,0,NA,NA,1,NA,NA,0,NA,NA,NA,0,1,NA,NA,NA,1,1,0,1,1,1,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,0,1,1,0,0,NA,NA,NA,1,1,1,0,NA,1,1,0,1,1,NA,1,1,NA,NA,NA,NA,0,0,0,NA
"GARDNER (R MA-6)",1,1,1,1,1,NA,1,0,NA,NA,0,NA,1,0,1,1,0,1,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,0,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,0,1,NA,1,1,1,NA,NA,NA,NA,0,0,0,1
"ROBERTS (R MA-7)",1,1,1,1,1,1,1,0,1,0,NA,NA,NA,0,NA,NA,0,1,1,NA,0,0,1,NA,1,0,NA,NA,NA,0,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,0,1,1,NA,1,NA,1,0,NA,0,1,1,1,0,0,NA,NA,1,0,1,1,1,0,1,NA,1,1,1,0,1,NA,0,0,0,0,NA
"MCCALL (R MA-8)",1,1,1,1,1,NA,1,0,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,0,0,NA,1,1,NA,NA,0,0,NA,NA,NA,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,0,1,NA,1,1,1,NA,0,1,1,0,0,0,0,1,NA,NA,NA,1,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KELIHER (D MA-9)",1,0,NA,NA,0,0,NA,NA,0,1,1,1,0,0,NA,NA,1,0,0,1,NA,NA,0,1,0,NA,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,0,0,1,1,0,NA,NA,NA,1,NA,1,NA,1,1,1,0
"MCNARY (D MA-10)",1,0,0,0,0,NA,0,1,NA,NA,NA,1,0,0,1,NA,1,0,0,1,NA,NA,0,1,0,1,1,NA,0,NA,NA,NA,NA,NA,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,NA,NA,0,NA,NA,NA,0,1,1,1,NA,NA,NA,0,1,1,0,0,0,1,1,0,1,0,0,1,0,1,1,1,1,1,NA
"SULLIVAN (D MA-11)",1,0,0,0,0,NA,0,1,NA,NA,NA,1,0,NA,0,NA,1,0,0,0,1,1,0,1,0,1,1,NA,0,0,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,1,1,1,0,0,NA,0,1,1,0,0,0,1,1,0,NA,0,NA,1,NA,1,1,1,NA,0,0
"POWERS (R MA-12)",1,1,1,1,NA,NA,1,0,NA,NA,NA,NA,NA,0,NA,1,0,1,1,1,0,0,1,1,1,NA,NA,NA,NA,NA,NA,0,1,NA,NA,1,1,1,0,NA,NA,NA,1,1,1,0,1,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,0,NA,NA,NA,1,NA,NA,1,NA,0,1,NA,1,1,1,0,NA,NA,NA,NA,NA,NA,NA
"LOVERING (R MA-13)",1,1,1,1,1,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,1,1,1,0,NA,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,NA,1,1,1,1,NA,1,NA,1,0,0,0,0,NA,1,NA,1,NA,1,1,1,0,1,NA,1,1,1,NA,1,NA,NA,0,NA,1,1
"GREENE (R MA-14)",1,1,1,1,1,NA,1,0,NA,NA,NA,NA,NA,0,1,1,0,1,1,NA,NA,0,1,1,1,0,0,0,1,NA,NA,1,1,0,NA,1,1,1,0,NA,1,1,1,1,1,0,1,1,1,1,1,0,1,1,NA,1,1,NA,NA,NA,1,0,0,0,0,1,1,1,1,0,0,1,1,0,1,NA,1,1,1,NA,1,NA,0,0,0,NA,1
"LUCKING (D MI-1)",1,0,0,0,0,NA,0,1,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,1,0,1,NA,1,NA,0,0,1,0,1,0,0,0,NA,NA,NA,0,NA,0,0,0,1,0,0,NA,NA,0,1,0,0,0,0,0,NA,1,0,0,1,1,1,1,0,0,0,1,1,0,0,0,1,1,NA,1,0,NA,1,0,1,0,1,NA,NA,NA
"TOWNSEND (R MI-2)",1,1,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,0,1,1,1,NA,NA,NA,1,1,1,NA,NA,1,1,1,0,1,1,1,1,NA,1,1,1,0,1,1,0,1,1,1,1,1,1,0,NA,NA,1,0,1,NA,NA,1,NA,1,1,0,1,NA,1,1,1,0,NA,NA,0,1,NA,1,NA
"GARDNER (R MI-3)",1,1,1,1,1,1,1,0,NA,NA,0,0,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,0,0,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,NA,NA,NA,NA,NA,1,1,NA,1,1,1,0,0,0,1,NA,1,1,0,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,0,NA,0,NA,1,NA
"HAMILTON (R MI-4)",1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1,NA,NA,NA,NA,0,0,1,1,1,NA,NA,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,NA,1,0,1,1,NA,1,1,1,1,1,1,0,0,0,NA,NA,1,1,0,NA,NA,1,1,0,1,1,1,1,1,0,NA,NA,NA,NA,NA,NA,1
"SMITH (R MI-5)",1,1,NA,0,1,NA,1,0,NA,NA,0,0,1,NA,1,NA,0,1,1,NA,NA,0,1,1,1,1,0,0,NA,NA,NA,0,NA,0,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,0,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,1,0,1,NA,NA,0,0,NA,NA
"SMITH (R MI-6)",1,1,1,1,1,1,1,0,NA,NA,NA,NA,NA,NA,1,NA,0,1,1,1,NA,0,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,0,1,1,0,1,1,1,0,1,0,1,1,0,1,1,NA,1,NA,1,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MCMORRAN (R MI-7)",1,1,0,0,1,1,1,0,NA,NA,NA,NA,NA,NA,1,1,0,1,1,1,0,0,NA,NA,NA,1,NA,0,1,1,1,1,1,0,1,1,1,1,NA,1,1,1,0,1,1,0,NA,1,1,1,1,0,1,1,NA,NA,1,NA,NA,NA,1,0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,0,NA,0,0,1,1
"FORDNEY (R MI-8)",1,1,0,0,1,NA,1,0,NA,NA,0,0,1,NA,1,1,0,1,1,1,0,0,NA,NA,1,0,0,0,NA,1,1,1,NA,0,1,1,1,1,0,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,0,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,1,1,1,NA,0,0,NA,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,1
"BISHOP (R MI-9)",1,1,1,1,1,1,1,0,1,0,0,0,1,NA,1,1,0,1,1,NA,NA,0,1,1,1,0,0,0,NA,1,1,0,1,0,NA,1,NA,1,0,1,1,1,0,1,1,0,1,1,1,NA,1,0,1,1,1,1,NA,1,NA,1,1,0,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,NA,1
"LOUD (R MI-10)",1,1,0,0,1,1,1,0,1,0,NA,NA,NA,1,1,NA,0,1,1,1,0,0,NA,NA,1,1,NA,0,NA,1,1,0,NA,0,NA,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,NA,NA,1,1,NA,NA,NA,NA,0,1,1,0,1,1,1,NA,1,NA,1,1,NA,0,0,NA,1
"DARRAGH (R MI-11)",1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,0,1,1,NA,NA,0,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,0,1,NA,1,1,1,0,NA,0,1,0,1,1,0,1,1,1,1,1,NA,NA,0,0,0,0,NA,1
"YOUNG (R MI-12)",1,1,1,1,1,1,1,NA,NA,NA,NA,1,1,0,1,1,NA,NA,NA,1,0,0,1,1,1,1,0,0,1,1,1,0,NA,0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,NA,NA,1,1,0,1,1,0,0,0,1,1,1,1,0,1,NA,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1
"TAWNEY (R MN-1)",1,1,1,1,1,1,NA,0,1,0,NA,0,1,0,1,1,0,1,1,1,0,NA,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,NA,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,NA,0,1,1,0,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,1,1
"MCCLEARY (R MN-2)",NA,1,1,1,1,1,1,0,1,NA,0,NA,NA,0,NA,1,NA,NA,NA,NA,0,0,1,1,NA,NA,0,0,1,1,1,NA,1,0,1,NA,NA,1,0,1,1,NA,1,NA,1,0,1,1,1,NA,1,0,1,1,NA,1,1,1,1,1,1,0,0,0,1,NA,1,1,NA,NA,1,1,1,0,1,1,NA,NA,1,NA,1,NA,1,0,0,NA,1
"DAVIS (R MN-3)",1,1,1,1,1,1,1,NA,1,0,0,0,1,0,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,NA,1,1,1,NA,NA,1,1,1,0,1,1,0,1,NA,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,NA,1,1,1,0,1,1,0,1,1,NA,NA,1,1,1,0,1,0
"STEVENS (R MN-4)",1,1,1,1,1,NA,1,0,1,0,NA,0,1,0,1,1,0,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,0,NA,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,NA,NA,0,0,1,1,1,0,1,1,1,1,1,NA,1,0,NA,NA,0,0,1
"LIND (D MN-5)",1,0,0,0,0,0,0,1,0,1,NA,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,0,NA,NA,0,0,1,0,0,0,0,0,1,0,0,0,0,NA,0,NA,0,0,1,NA,NA,1,NA,0,0,NA,1,NA,0,0,1,1,1,1,0,0,1,NA,0,0,1,NA,1,0
"BUCKMAN (R MN-6)",1,1,1,1,1,NA,1,0,NA,NA,0,0,1,NA,NA,NA,0,1,1,1,0,NA,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,0,NA,1,1,1,0,1,1,1,NA,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,0,NA,1,NA,1,0,0,1,1,1,0,1,1,NA,NA,NA,NA,1,0,NA,0,0,1,NA
"VOLSTEAD (R MN-7)",1,1,NA,1,1,1,1,0,1,0,0,0,1,NA,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,NA,0,NA,1,0,1,1,1,NA,1,0,1,1,NA,1,1,1,0,1,1,0,0,0,NA,1,NA,NA,0,1,1,1,1,0,1,0,0,1,1,0,1,0,NA,0,0,1,1
"BEDE (R MN-8)",1,1,1,1,1,1,1,0,NA,NA,NA,0,1,NA,1,1,NA,NA,NA,NA,NA,0,1,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,1,1,1,1,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,0,1,1,1,NA,NA,NA,NA,0,0,1,1,1,0,1,NA,1,1,NA,0,NA,NA,NA,1,NA,1,NA
"STEENERSON (R MN-9)",1,1,1,1,1,1,1,0,1,0,NA,NA,NA,0,NA,NA,0,1,1,1,0,0,1,1,NA,1,0,0,1,1,1,1,1,0,1,1,1,1,NA,1,1,1,1,1,1,1,1,NA,1,NA,1,0,1,1,1,1,1,NA,1,NA,1,0,1,1,NA,NA,NA,NA,0,1,1,1,1,0,1,NA,NA,NA,1,0,1,0,NA,NA,NA,1,NA
"CANDLER (D MS-1)",1,0,0,0,0,NA,0,1,0,1,1,1,0,1,0,0,1,0,0,1,1,1,0,1,0,0,1,1,NA,1,1,0,0,1,0,0,0,NA,NA,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,NA,0,NA,NA,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,1,0,0,0,1,1,1,0
"SPIGHT (D MS-2)",1,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,0,0,1,0,0,1,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,1,0,1,0,NA,NA,NA,NA,0,0,NA,1,0,0,1,0,0,0,0,0,1,0,NA,0,0,NA,0,NA,NA,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,NA,1,1,1,NA
"HUMPHREYS (D MS-3)",1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,NA,1,0,1,0,0,NA,NA,NA,1,1,1,0,1,0,0,0,0,1,NA,0,0,1,0,0,1,0,0,0,0,0,1,0,0,NA,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,NA,0,0,1,0,0,0,1,1,1,NA
"HILL (D MS-4)",1,0,0,0,0,0,0,1,0,1,NA,NA,NA,1,0,0,1,0,0,1,1,1,0,1,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,0,1,1,1,1,0,NA,NA,1,0,NA,0,0,1,1,NA,NA,NA,NA,NA,0,NA,1,1,1,1,NA
"BYRD (D MS-5)",NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,NA,NA,0,1,NA,0,NA,1,0,0,0,0,0,1,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,1,1,1,NA,0,NA,NA,NA,NA,NA,0,0,1,1,0,1,0,0,1,0,0,0,NA,NA,NA,NA
"BOWERS (D MS-6)",1,0,0,0,0,0,0,NA,NA,NA,1,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,NA,0,0,1,NA,0,1,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,0,1,1,1,1,NA,0,0,1,0,0,0,0,1,1,0,1,0,0,NA,0,0,NA,NA,NA,1,0
"MCLAIN (D MS-7)",1,0,0,0,0,0,0,1,NA,1,NA,1,0,NA,NA,NA,1,0,0,1,1,1,NA,NA,0,0,1,1,0,1,1,0,NA,1,0,0,NA,0,NA,NA,0,0,0,NA,0,1,0,0,NA,NA,0,1,0,NA,0,0,NA,NA,1,NA,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,NA,NA,0,0,1,0,0,NA,1,1,1,NA
