"","Vote 1","Vote 2","Vote 3","Vote 4","Vote 5","Vote 6","Vote 7","Vote 8","Vote 9","Vote 10","Vote 11","Vote 12","Vote 13","Vote 14","Vote 15","Vote 16","Vote 17","Vote 18","Vote 19","Vote 20","Vote 21","Vote 22","Vote 23","Vote 24","Vote 25","Vote 26","Vote 27","Vote 28","Vote 29","Vote 30","Vote 31","Vote 32","Vote 33","Vote 34","Vote 35","Vote 36","Vote 37","Vote 38","Vote 39","Vote 40","Vote 41","Vote 42","Vote 43","Vote 44","Vote 45","Vote 46","Vote 47","Vote 48","Vote 49","Vote 50","Vote 51","Vote 52","Vote 53","Vote 54","Vote 55","Vote 56","Vote 57","Vote 58","Vote 59","Vote 60","Vote 61","Vote 62","Vote 63","Vote 64","Vote 65","Vote 66","Vote 67","Vote 68","Vote 69","Vote 70","Vote 71","Vote 72","Vote 73","Vote 74","Vote 75","Vote 76","Vote 77","Vote 78","Vote 79","Vote 80","Vote 81","Vote 82","Vote 83","Vote 84","Vote 85","Vote 86","Vote 87","Vote 88","Vote 89","Vote 90","Vote 91","Vote 92","Vote 93","Vote 94","Vote 95","Vote 96","Vote 97","Vote 98","Vote 99","Vote 100","Vote 101","Vote 102","Vote 103","Vote 104","Vote 105","Vote 106","Vote 107","Vote 108","Vote 109","Vote 110","Vote 111"
"WRIGHT (Adams OH-11)",0,0,0,0,1,0,0,1,0,NA,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,1,NA,1,1,1,1,0,1,0,0,1,0,1,0,1,NA,NA,0,1,1,0,1,1,0,1,1,0,1,0,0,NA,1,1,0,1,1,0,0,0,NA,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,NA,0,0,1,1,NA,NA,1,1,0,1,NA,1,0,NA,0,1,0,0,NA,0,1,1
"SLOANE (Adams OH-12)",0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,NA,0,0,1,0,1,0,1,1,1,0,1,1,0,1,1,0,1,1,0,1,NA,0,0,0,1,1,1,1,0,0,0,1,0,0,NA,0,1,0,0,0,0,1,0,1,0,0,0,0,1,NA,1,0,0,0,1,1,NA,0,0,1,0,1,0,1,0,1,NA,1,NA,1,1,0,1,1
"WHITTLESEY (Adams OH-13)",0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,1,0,1,0,NA,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,1,0,1,1,0,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,1,0,1,0,1,0,1,0,1,1,1,1,0,1,1
"BARTLEY (Adams OH-14)",NA,0,0,0,1,0,NA,NA,1,1,NA,NA,NA,NA,1,0,0,1,1,1,1,1,0,NA,0,0,1,NA,1,0,0,NA,1,1,1,NA,1,NA,NA,1,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,1,0,0,NA,1,0,0,0,0,NA,NA,0,0,1,1,NA,NA,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,1,0,1,0,1,1,NA,1,1,0,1,NA,0,1,1
"WURTS (Jackson PA-1)",NA,NA,0,0,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,1,0,0,0,1,1,1,NA,1,1,1,0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,0,NA,0,1,1,0,0,1,0,1,1,0,1,1,0,0,0,1,1,0,0,0,NA,0,1,NA,NA,1,1,1,NA,1,1,0,0,1,NA,0,1
"HEMPHILL (Jackson PA-2)",1,NA,1,0,0,1,1,1,NA,NA,1,1,1,1,1,1,0,1,0,NA,0,0,1,0,1,0,1,0,NA,1,0,0,0,0,0,1,1,NA,1,0,1,1,0,1,NA,0,0,1,1,1,1,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KITTERA (Adams PA-2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,0,1,1,0,1,NA,1,NA,1,NA,0,1,1,NA,NA,0,1,0,1,1,0,1,0,0,0,1,1,1,0,0,0,1,1,1,0,1,1,1,1,NA,NA,NA,0,0,1,NA,0,NA
"MILLER (Jackson PA-3)",1,1,1,1,0,NA,1,1,NA,NA,NA,1,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,0,1,1,0,1,0,0,NA,NA,NA,1,1,1,1,1,0,1,0,1,NA,NA,NA,0,1,0,0,NA,0,0,NA,1,0,1,1,0,1,0,0,0,0,1,0,1,1,0,NA,0,0,1,1,0,0,0,NA,0,0,1,1,1,0,1,1,1,NA,1,1,0,1,1,1,0,0
"MINER (Adams PA-4)",1,0,0,0,1,0,0,1,1,1,0,1,1,1,NA,0,0,1,1,0,1,0,0,1,0,0,1,0,1,1,1,1,NA,NA,0,1,1,NA,0,0,1,1,0,1,1,1,NA,NA,NA,1,0,0,1,1,0,1,0,0,1,0,1,1,0,NA,1,1,0,1,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,NA,1,0,1,0,1,0,1,1,1,1,1,0,0,1,1,0,1
"BUCHANAN (Jackson PA-4)",1,0,0,0,1,NA,NA,NA,NA,0,1,1,1,1,1,1,0,1,0,0,1,0,1,0,1,0,1,0,NA,NA,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0
"EDWARDS (Jackson PA-4)",0,NA,0,0,1,1,NA,NA,NA,1,1,NA,1,1,0,1,0,NA,NA,NA,NA,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,NA,1,1,0,0,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,1,1,NA,NA,0,NA,NA,0,0,0,0,1,NA,1,0,0,0,0,1,0,1,1,NA,NA,NA,1,1,NA,NA,0,1,0,0,NA,0,1,0
"MARKLEY (Adams PA-5)",1,NA,NA,NA,NA,NA,0,NA,1,1,1,NA,1,1,0,1,0,1,1,1,1,1,0,0,0,0,1,0,1,1,0,NA,0,0,0,1,1,1,NA,1,1,1,0,0,0,0,0,1,1,NA,1,NA,NA,NA,NA,0,1,0,0,1,0,0,1,0,0,1,NA,1,NA,1,NA,1,NA,0,1,0,NA,NA,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,1,1,1,0,NA,1,0,NA,NA,NA,NA
"HARRIS (Jackson PA-6)",1,1,0,0,1,NA,NA,NA,NA,0,0,0,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,NA,NA,1,1,1,0,1,1,1,1,1,1,1,1,1,0,NA,1,0,1,1,0,1,1,0,0,1,1,NA,0,0,1,0,1,0,0,0,0,NA,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,1,1,0,1,0,0
"ADDAMS (Jackson PA-7)",1,0,0,0,0,0,1,1,1,1,NA,1,1,NA,0,1,0,1,0,0,1,0,1,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,NA,0,1,0,0,0,1,1,NA,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,NA,0,1,1,1,0,NA,1,1,1,0,1,0,0
"WILSON (Jackson PA-7)",1,1,0,0,1,NA,1,1,NA,NA,1,1,1,1,0,1,0,1,NA,0,1,0,1,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KREBS (Jackson PA-7)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,1,0,1,0,0,1,1,0,0,1,1,1,0,0,1,1,1,1,1,0,0
"INGHAM (Jackson PA-8)",1,1,1,0,0,0,1,1,1,1,1,NA,NA,NA,1,1,1,1,NA,NA,1,0,1,0,1,1,0,NA,0,1,NA,0,NA,NA,0,1,1,1,1,0,1,NA,0,1,1,1,0,0,0,1,0,0,1,NA,0,1,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,1,0,NA,1,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,NA,1,NA,NA,1,1,1,NA,1,1,0,0,0,0,NA,0
"WOLF (Jackson PA-8)",1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,1,1,1,0,1,1,0,1,0,1,0,0
"VAN (Jackson PA-9)",1,NA,1,0,0,NA,1,1,1,1,1,1,1,1,NA,NA,NA,1,0,0,1,0,1,0,1,0,1,0,0,1,NA,0,NA,NA,0,1,1,1,1,NA,NA,1,0,0,0,0,NA,1,1,1,0,0,1,1,0,1,NA,NA,NA,0,NA,0,1,0,0,1,1,1,1,NA,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KREMER (Jackson PA-9)",1,0,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1,1,0,NA,0,1,1,1,1,1,1,1,1,1,0,1,0,NA,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,NA,NA,0,NA,NA,1,0,0,1,1,1,1,1,0,0
"MC (Jackson PA-9)",1,1,1,0,0,0,1,1,0,0,1,1,1,NA,1,1,0,1,0,0,1,0,1,0,1,1,0,0,NA,1,1,0,0,0,0,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,1,0,0,1,0,0,1,1,1,1,1,0,1,1,0,1,0,NA,NA,0,NA,NA,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,NA,NA,1,1,1,NA,0,1,1,1,1,0,1,NA
"MITCHELL (Jackson PA-10)",1,0,0,0,1,0,1,NA,NA,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,1,1,0,1,0,0,1,1
"FINDLAY (Jackson PA-11)",1,NA,0,0,1,0,NA,NA,0,0,NA,1,NA,0,1,1,0,1,1,1,1,0,1,0,1,0,1,NA,NA,1,1,1,0,1,0,NA,NA,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,NA,0,0,1,0,1,1,0,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,0,1,0,1,0,0,1,1,0,0,1,1,1,NA,1,1,0,1,1,0,1,0
"WILSON (Adams PA-11)",NA,0,0,0,1,0,0,1,NA,0,NA,NA,NA,NA,1,1,0,1,1,1,1,1,0,0,0,0,1,0,NA,1,1,0,0,0,0,1,1,1,1,NA,NA,1,NA,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,NA,1,1,0,1,0,NA,1,NA,1,1,0,0,NA,0,1,1
"MITCHELL (Jackson PA-12)",1,NA,NA,NA,NA,NA,NA,1,1,NA,0,0,1,NA,NA,NA,NA,1,0,NA,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,NA,0,1,0
"THOMSON (Jackson PA-13)",1,0,NA,NA,NA,0,0,1,1,1,0,1,1,1,0,1,0,NA,1,1,1,1,0,1,0,0,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,NA,0,1,1,NA,1,1,1,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FORWARD (Jackson PA-13)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,0,0,0,1,1,1,0,1,0,1,NA,0,1,0,NA,NA,0,0,1,1,0,1,1,1,0,1,1,0,0,0,1,NA,0,1,1,0,1,NA,1,NA,0,0,1,1,NA,1,0,1,0
"STEWART (Jackson PA-14)",1,0,0,0,1,0,NA,NA,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,NA,NA,1,1,NA,NA,0,0,1,1,NA,NA,0,1,1,0,0,NA,NA,0,1,1,NA,1,1,1,1,1,1,1,0,NA,0,0,1,0,0,1,0,0,1,NA,0,0,0,NA,NA,NA,0,0,1,NA,0,1,0,0,1,0,1,1,1,NA,0,0,1,1,0,NA,NA,1,0,1,0,1,0,1,1,1,0,NA,NA,NA,1,1
"LAWRENCE (Adams PA-15)",1,0,0,0,1,0,1,1,1,1,NA,NA,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,NA,1,1,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,0,0,1,1,0,0,1,1,0,1,0,1,1,1,NA,1,1,NA,1,0,1,1
"STEVENSON (Jackson PA-16)",1,1,1,0,0,0,1,NA,1,1,1,1,NA,1,1,1,0,1,0,0,NA,0,1,0,1,0,1,NA,NA,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,1,NA,0,0,0,NA,NA,0,NA,NA,0,1,1,1,0,0,0,NA,1,1,NA,0,0,0,NA,0,1,1,1,1,0,1,NA,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,NA,NA,1,NA,1,NA,0,1,1,1,0,1,0,NA
"ORR (Jackson PA-16)",1,0,1,1,0,0,1,1,1,1,NA,NA,NA,0,0,1,0,1,NA,NA,NA,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,1,1,0,1,1,1,0,1,NA,0,0,0,1,NA,1,1,0,1,1,NA,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,1,0,0,1,1,0,1,NA,0,1,1,0,1,1,1,NA,1,0,0
"PLUMER (Jackson PA-17)",1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1,0,1,0,1,1,0,1,1,1,1,1,0,0
"FARRELLY (Jackson PA-18)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SILL (Adams PA-18)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,0,1,0,1,0,1,1,0,0,0,NA,0,1,1,NA,1,0,1,1,NA,0,0,0,NA,NA,NA,NA,1,1,NA,1,1,NA,1,0,0,1,0,0,1,0,0,1,0,1,NA,NA,0,1,NA,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,NA,0,0,1,1,NA,1,NA,1,0,1,NA,NA,NA,1,NA,1,NA,0,1,0,1,NA
"PEARCE (Adams RI-98)",NA,0,0,1,0,0,0,1,1,1,1,NA,1,1,1,0,0,NA,1,1,1,1,0,0,0,0,1,0,1,0,NA,0,0,0,0,NA,NA,1,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,0,1,1,1,0,1,NA,0,0,NA,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,NA,1,0,1,0,1,0,1,1,0,1,1,0,0,0,NA,NA,1
"BURGES (Adams RI-98)",0,NA,1,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,NA,1,0,0,0,0,0,NA,NA,NA,1,0,1,0,NA,1,0,0,1,0,0,NA,1,1,NA,1,1,NA,NA,NA,1,NA,0,0,1,0,0,1,0,1,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,0,1,0,0,NA,1
"DRAYTON (Jackson SC-1)",1,0,0,0,1,1,1,0,NA,0,0,1,NA,0,1,1,0,1,NA,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,NA,1,0,0,0,0,0,0,0,NA,NA,1,0,0,NA,1,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,NA,1,NA,NA,NA,0,1,NA,NA,1,1,0,0,1,1,0,0
"HAMILTON (Jackson SC-2)",1,0,0,NA,NA,1,1,0,1,1,NA,NA,NA,NA,1,1,1,NA,NA,NA,1,0,1,NA,0,1,NA,NA,0,NA,NA,NA,NA,NA,NA,1,1,1,1,0,1,NA,0,0,NA,NA,0,NA,NA,1,0,NA,NA,NA,NA,1,NA,NA,1,0,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,1,1,NA,1,1,NA,NA,0,1,0,1,1,1,NA,0,0,0,1,1,1,0,0,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,0,0,0,0,1,NA,0
"MITCHELL (Jackson SC-3)",1,0,0,0,1,1,1,1,NA,1,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,1,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,1,1,NA,0,0,1,1,1,0,0,1,0,NA,1,1,0,1,0,1,1,1,1,NA,0,0,0,NA,1,0,0,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOVAN (Jackson SC-4)",NA,1,1,1,0,1,1,1,1,1,1,NA,NA,NA,1,1,1,1,0,0,1,0,1,0,0,1,0,1,0,NA,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,0,1,1,0,1,1,0,NA,1,0,1,0,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0
"MC (Jackson SC-5)",1,1,0,1,1,0,1,1,NA,1,1,1,NA,1,1,1,1,NA,0,0,0,0,1,0,0,1,0,0,0,NA,1,0,0,NA,0,1,1,1,0,0,1,NA,0,0,NA,1,0,1,NA,1,0,0,1,0,0,1,0,0,1,NA,0,1,NA,0,0,1,NA,1,NA,NA,1,NA,1,NA,NA,1,1,1,0,1,0,1,1,0,1,0,0,0,1,1,1,0,0,0,1,1,0,1,0,1,1,1,NA,1,1,0,0,NA,1,0,0
"WILSON (Jackson SC-6)",1,1,NA,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,NA,NA,1,NA,NA,1,NA,NA,NA,0,1,0,0,1,1,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,1,0,NA,0,1,0,0,1,NA,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,NA,NA,0,NA,1,1,NA,1,0,NA
"GIST (Jackson SC-7)",1,1,0,0,1,1,1,NA,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,1,0,NA,NA,NA,0,1,0,NA,0,1,1,1,NA,1,NA,0,1,1,1,1,NA,NA,0,1,1,1,0,0,NA,NA,1,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"CARTER (Jackson SC-8)",1,1,0,0,1,0,1,1,NA,1,1,0,1,1,1,1,1,NA,NA,NA,1,0,NA,0,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,1,1,NA,1,1,1,0,0,1,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,NA,NA,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,NA,NA,NA,0,0,NA,1,1,NA,0,1,1,NA,1,1,NA,NA
"TUCKER (Jackson SC-9)",1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,NA,1,1,1,1,1,1,1,1,NA,1,0,NA,1,1,1,1,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,1,0,NA,0,0,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,NA,NA,0,0,1,1,0,1,0,NA
"BLAIR (Jackson TN-1)",1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,NA,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,NA,0,0,NA,NA,0,0,NA,NA,0,0,1,1,NA,1,1,0,1,0,0,0,NA,0,1,0,1,1,1,0,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,NA,0,0,NA,0,1,NA,1,1,0,0,NA,1,1,NA,0,0,0
"COCKE (Jackson TN-2)",1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,NA,1,1,1,0,1,0,0,1,0,0,NA,NA,1,0,0,1,0,1,1,0,0,1,0,NA,0,0,1,1,0,1,1,0,0,0,0,NA,0,NA,NA,NA,0,0,1,1,NA,1,1,0,0,1,0,NA,1,0,0,1,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,NA,1,0,0,NA,0,0,1,0,1,1,NA,NA,0,0,0,1,1,0,NA,0,1
"MITCHELL (Jackson TN-3)",1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,0,1,1,NA,1,1,1,1,1,1,1,1,1,1,0,NA,1,0,1,1,0,0,0,0,0,0,NA,1,0,0,NA,NA,1,NA,1,1,0,1,1,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1,NA,0,1,0
"ISACKS (Jackson TN-4)",1,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,0,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,NA,NA,0,1,1,0,1,1,0,1,1,0,1,NA,NA,1,0,0,0,1,1,0,1,1,0,1,1,NA,0,1,0,1,0,1,1,1,0,0,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0
"ALLEN (Jackson TN-5)",1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,NA,1,1,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,1,NA,0,1,0,NA,NA,1,0,1,1,0,1,1,0,1,0,0,NA,NA,0,1,0,1,1,1,1,NA,1,0,1,1,1,1,0,0,0,0,NA,1,0,0,0,NA,NA,NA,0,0,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
