"","Vote 1","Vote 2","Vote 3","Vote 4","Vote 5","Vote 6","Vote 7","Vote 8","Vote 9","Vote 10","Vote 11","Vote 12","Vote 13","Vote 14","Vote 15","Vote 16","Vote 17","Vote 18","Vote 19","Vote 20","Vote 21","Vote 22","Vote 23","Vote 24","Vote 25","Vote 26","Vote 27","Vote 28","Vote 29","Vote 30","Vote 31","Vote 32","Vote 33","Vote 34","Vote 35","Vote 36","Vote 37","Vote 38","Vote 39","Vote 40","Vote 41","Vote 42","Vote 43","Vote 44","Vote 45","Vote 46","Vote 47","Vote 48","Vote 49","Vote 50","Vote 51","Vote 52","Vote 53","Vote 54","Vote 55","Vote 56","Vote 57","Vote 58","Vote 59","Vote 60","Vote 61","Vote 62","Vote 63","Vote 64","Vote 65","Vote 66","Vote 67","Vote 68","Vote 69","Vote 70","Vote 71","Vote 72","Vote 73","Vote 74","Vote 75","Vote 76","Vote 77","Vote 78","Vote 79","Vote 80","Vote 81","Vote 82","Vote 83","Vote 84","Vote 85","Vote 86","Vote 87","Vote 88","Vote 89","Vote 90","Vote 91","Vote 92","Vote 93","Vote 94","Vote 95","Vote 96","Vote 97","Vote 98","Vote 99","Vote 100","Vote 101","Vote 102","Vote 103"
"COLE (R IA-5)",1,1,1,1,1,0,1,1,1,0,1,1,1,NA,NA,NA,1,NA,1,NA,1,1,0,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,NA,0,0,1,1,1,1,1,1,1,1,0,1,NA,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,1,0,1,NA,NA
"RAMSEYER (R IA-6)",1,1,1,1,1,0,1,NA,NA,1,0,1,1,NA,1,0,1,0,1,NA,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,NA,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,NA,0,NA,0,0,0,1,0,1,0,0,1,0,1,1,1,NA,0,1,1
"DOWELL (R IA-7)",1,1,1,1,1,0,1,0,0,1,0,1,1,NA,1,0,1,0,0,0,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,NA,1,NA,NA,1,1,0,1,1,1,1,1,1,NA,1,1,NA,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,NA,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0
"THURSTON (R IA-8)",1,1,1,1,1,0,1,1,NA,1,0,1,1,0,NA,0,1,0,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,0,1,1,1,0,1,0,1,1,1,0,NA,1,1,1,1,1,0,1,1,1,NA,0,NA,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,NA,1,0,0,0,1,NA,1,1,1,0,1,1,1,NA,0,1,1,1,NA,1,NA,NA,1,1
"SWANSON (R IA-9)",1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0
"DICKINSON (R IA-10)",1,1,1,1,1,0,1,1,1,1,0,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,0,1,1,1,0,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,NA,1,0,1,1,1,1,0,1,1,1,1,NA,0,1,NA,NA,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,1,1,0,0,1,NA
"CAMPBELL (R IA-11)",1,1,1,1,0,0,0,0,0,1,0,NA,0,NA,1,0,1,0,1,1,1,1,1,0,0,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,0,0,0
"LAMBERTSON (R KS-1)",1,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,NA,0,0,1,1,1,0,0,0,1,NA,1,0,NA,0,1,0,1,1,1,1,1,0,1,1,1,0,1,NA,0,0,0,0,0,1,1,1,NA,1,NA,0,0,0,NA,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0
"GUYER (R KS-2)",1,1,1,1,1,0,NA,1,1,1,0,1,1,NA,1,0,1,0,0,1,1,1,0,1,1,1,1,0,1,1,NA,1,0,0,1,1,0,0,0,0,1,1,1,0,NA,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,NA,1,1,1,1,0,1,1,1,1,1,1,1,1,1,NA,0,0,NA,0,0,0,0,0,0,1,1,0,1,1,1,1,NA,NA,1,1,1,1,1,NA,0,0,0
"SPROUL (R KS-3)",1,1,0,0,0,NA,NA,1,1,1,0,1,NA,NA,1,0,1,NA,0,NA,NA,NA,NA,NA,1,1,NA,NA,1,1,0,1,1,0,1,1,1,0,1,0,0,NA,1,1,0,1,1,1,1,0,0,1,0,NA,1,NA,1,0,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA,1,0,1,1,1,1,1,NA,1,NA,1,0,0,0,NA,1,1,1,0,1,1,1,1,NA,NA,1,1,NA,NA,1,1,NA,0,NA
"HOCH (R KS-4)",1,1,1,1,1,0,1,1,1,0,1,1,1,1,NA,0,1,NA,0,1,1,1,0,1,1,1,1,0,1,0,NA,1,1,0,1,1,0,0,1,NA,1,1,1,0,NA,1,1,1,NA,1,1,1,1,1,1,1,NA,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
"STRONG (R KS-5)",1,1,1,1,1,0,1,1,1,1,0,1,1,1,NA,0,1,0,0,1,1,1,0,1,1,1,1,0,1,0,NA,1,1,0,1,NA,0,0,0,NA,1,1,1,NA,NA,NA,1,1,1,0,1,1,1,1,1,0,0,0,1,1,NA,NA,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,NA,0,0,0,NA,0,0,0,1,0,1,1,NA,NA,0,0,1,1,1,0,1,NA,0,1,NA
"SPARKS (R KS-6)",1,1,1,1,1,0,1,1,1,1,0,1,1,NA,1,0,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,NA,NA,NA,1,1,0,NA,NA,NA,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,NA,NA,1,1,1,1,1,0,0,0,0,0,NA,0,1,0,1,1,1,1,0,1,1,1,1,0,1,NA,0,0,0
"HOPE (R KS-7)",1,1,1,1,1,0,1,1,1,1,0,1,1,1,NA,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,0,0,NA,NA
"AYRES (D KS-8)",1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,NA,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,0,NA,NA,1,0,NA,1,0,0,1,1,0,1,1,1,NA,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,NA,0,1,NA,1,1,1,1,0,1,1,1,1,1,1,NA,1,NA,0,NA,NA
"GREGORY (D KY-1)",1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,NA,0,0,1,1,1,1,1,0,0,0,NA,1,0,1,1,0,1,0,1,1,1,1,1,NA,NA,NA,NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,0,0,0,0,1,1,0,1,0,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0
"KINCHELOE (D KY-2)",1,1,1,0,0,1,0,0,0,1,0,1,1,0,0,NA,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,1,NA,NA,NA,1,0,NA,1,1,0,1,NA,1,1,NA,NA,1,0,0,0,0,NA,1,0,1,0,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DORSEY (D KY-2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,1,NA,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,NA,1,1,1,0,NA,NA,NA,NA,NA
"MOORE (D KY-3)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,1,NA,1,1,1,0,0,0,0,1,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,1,1,1,NA,1,0,0,0,0,0,1,0,1,0,1,1,NA,NA,NA,0,0,0,1,0,1,1,0,1,1,1,NA,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0
"CRADDOCK (R KY-4)",1,1,1,1,1,0,1,1,1,1,0,1,1,NA,NA,0,1,0,0,NA,1,1,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,1,1,1,1,1,NA,NA,0,NA,NA,NA,0,0,1,NA,NA,NA,NA,1,0,0,0,1,NA,NA,1,1,1,1,NA,1,1,NA,0,0,1,1,1,1,NA,NA,0,1,1,0,NA,0,NA,1,0,1,NA,0,1,NA,1,1,1,NA,0,NA,NA,0,NA,NA
"THATCHER (R KY-5)",1,1,1,1,1,0,1,0,0,1,0,NA,1,1,1,0,1,0,0,1,NA,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,NA,0,0,0,1,NA,NA,NA,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,NA,1,1,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
"NEWHALL (R KY-6)",1,1,1,1,NA,0,1,0,0,1,0,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,NA,NA,NA,0,1,0,0,1,1,0,0,NA,1,NA,1,1,0,1,1,1,1,NA,NA,NA,1,NA,NA,NA,0,1,1,1,1,1,NA,1,1,1,0,1,NA,1,1,NA,1,1,1,1,1,0,0,NA,0,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,1,1,1,NA,NA
"BLACKBURN (R KY-7)",1,NA,1,1,1,0,1,1,1,1,0,1,1,NA,NA,NA,NA,0,0,1,1,1,0,1,1,1,1,0,0,1,NA,1,0,0,1,1,0,0,NA,0,0,0,0,NA,NA,NA,1,1,0,0,0,1,1,1,NA,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,NA,1,1,0,NA,0,0,0,0,1,1,NA,NA,1,0,0,1,1,0,0,0,1,0,1,1,1,1,NA,1,1
"WALKER (R KY-8)",1,1,1,1,1,0,1,1,1,1,0,1,1,NA,1,NA,1,0,0,1,NA,NA,NA,NA,1,1,1,0,0,1,0,1,1,0,1,1,0,0,1,NA,NA,NA,NA,0,1,1,1,1,1,NA,0,1,1,1,NA,0,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,NA,NA
"KENDALL (R KY-9)",1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,NA,NA,NA,0,1,NA,1,0,0,1,1,1,0,0,1,0,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,NA,0,0,0,1,1,1,1,0,1,1,1,1,1,1,NA,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,NA,NA,NA,NA,1,0,0,1,1,0,0,0,1,0,1,1,1,NA,NA,NA,NA
"LANGLEY (R KY-10)",NA,1,1,1,1,0,1,NA,NA,1,0,NA,1,1,1,0,1,0,0,NA,1,1,1,0,1,1,NA,0,0,1,1,1,1,1,0,1,0,0,1,NA,NA,NA,NA,0,1,NA,1,1,1,NA,NA,NA,NA,1,1,0,NA,1,1,1,1,1,1,NA,NA,1,NA,1,1,1,0,1,0,1,1,1,1,NA,NA,NA,0,1,0,NA,NA,NA,1,0,0,1,1,0,0,0,1,0,1,1,NA,1,1,NA,NA
"ROBSION (R KY-11)",1,1,1,1,1,0,1,1,0,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FINLEY (R KY-11)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,1,1,NA,NA,0,1,0,1,0,1,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,1,1,NA,0,0,1,1,1,NA,0,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,0,0,1,1,1,1,1,0,0,0,1,1,NA,0,0,1,1,1,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1
"O'CONNOR (D LA-1)",1,1,0,1,1,1,1,0,0,1,0,NA,0,NA,1,0,0,NA,1,1,1,1,0,1,0,0,NA,1,0,1,1,1,0,1,0,0,1,0,0,1,1,NA,1,1,1,1,0,0,1,NA,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,1,NA,NA,NA,0,NA,1,NA,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPEARING (D LA-2)",1,1,0,1,1,1,1,0,0,1,0,NA,1,NA,1,0,0,NA,1,1,NA,NA,0,1,1,1,NA,1,NA,NA,1,1,0,1,0,0,0,1,0,NA,1,0,1,1,1,1,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,1,1,1,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,1,1,0,1,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MONTET (D LA-3)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,NA,NA,NA,0,0,1,1,NA,NA,0,0,1,1,0,1,1,1,1,1,0,NA,NA,NA,NA,1,0,0,0,0,0,1,0,NA,1,NA,1,0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1
"SANDLIN (D LA-4)",1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,0,1,0,0,0,1,0,1,1,1,NA,1,0,0,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0
"WILSON (D LA-5)",1,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,NA,NA,1,1,1,1,0,0,0,1,0,1,1,1,NA,1,0,0,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,1,0,NA,1,0,1,1,1,1,0,0,1,NA,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1
"KEMP (D LA-6)",1,1,0,1,1,1,1,0,0,1,0,NA,0,NA,1,0,0,0,1,1,1,NA,1,0,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1,0,NA,NA,NA,1,1,NA,0,1,1,1,0,1,1,1,1,0,0,0,1,1,NA,NA,0,NA,NA,1,NA,NA,NA,0,NA,0,0,1,0,NA,1,NA,1,1,1,1,0,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"DE (D LA-7)",1,1,0,1,1,1,1,0,0,1,0,NA,1,NA,0,0,0,0,1,1,NA,NA,0,1,1,1,0,1,0,1,0,1,1,1,0,0,1,1,1,NA,NA,1,1,1,NA,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,0,0,0,1,1,NA,NA,0,0,0,0,1,0,1,1,0,1,1,1,1,NA,NA,1,NA,1,1,1,1,0,1,NA,NA,1,1,1,1,1,1,0,NA,NA
"ASWELL (D LA-8)",1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,NA,1,1,1,1,0,1,1,1,0,NA,0,1,0,1,1,1,0,0,0,1,1,1,0,0,1,NA,NA,NA,0,0,NA,1,0,1,1,1,NA,1,0,NA,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,NA,NA,0,1,1,0,1,1,0,NA,NA
"BEEDY (R ME-1)",1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,NA,1,NA,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,NA,NA,NA,0,1,NA,1,1,NA,0,1,1,1,1,1,0,0,1,1,1,NA,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,NA,0,NA,NA,0,0,1,1,1,0,0,1,0,1,1,1,0,1,NA,NA
"WHITE (R ME-2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,1,0,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,1,NA,NA,NA,NA,1,0,1,1,1,1,1,1,1,1,1,1,0,0,NA,1,0,0,0,NA,NA,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,NA,NA
"NELSON (R ME-3)",1,1,1,1,1,0,1,1,1,0,1,NA,1,NA,1,NA,1,0,1,1,1,1,NA,1,1,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,NA,1,1,1,NA,NA,NA,1,1,NA,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,NA,1,0,1,1,1,1
"SNOW (R ME-4)",1,1,1,1,1,0,1,1,1,1,0,1,1,1,NA,0,1,0,1,1,NA,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,NA,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1
"GOLDSBOROUG (D MD-1)",1,1,1,0,0,1,0,0,0,0,1,NA,0,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,0,0,0,1,0,1,NA,0,1,0,1,1,1,1,NA,0,1,NA,NA,NA,NA,NA,0,0,NA,1,0,1,1,1,NA,1,0,0,0,0,0,1,0,0,0,1,1,NA,NA,NA,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,NA,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0
"CLARK (R MD-2)",1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,NA,1,0,0,NA,1,1,1,0,1,1,1,0,0,1,NA,1,0,1,0,0,0,0,0,0,NA,NA,NA,NA,1,NA,1,1,1,0,0,1,1,1,NA,0,1,1,1,1,NA,1,1,0,1,0,1,NA,1,1,NA,1,1,NA,1,1,NA,0,0,0,NA,NA,0,NA,NA,NA,1,1,0,1,NA,NA,0,0,1,1,NA,1,1,1,NA,NA,NA
"PALMISANO (D MD-3)",1,0,0,0,0,1,0,0,0,0,1,NA,0,NA,1,NA,0,0,1,1,1,1,1,0,0,0,NA,NA,0,1,NA,0,1,0,1,1,0,1,1,0,NA,NA,NA,0,1,1,0,NA,NA,1,0,1,0,0,NA,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,NA,0,0,1,0,1,1,1,NA,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,0,0,1,NA,NA
"LINTHICUM (D MD-4)",1,1,0,0,0,1,0,0,0,0,1,0,0,NA,NA,NA,0,0,0,1,1,1,1,1,0,0,1,1,0,1,NA,0,1,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,NA,1,0,1,0,0,NA,0,0,0,0,1,1,NA,0,0,1,0,0,1,0,1,1,0,0,0,1,1,NA,1,1,NA,1,1,0,1,1,1,1,1,0,1,NA,NA,1,0,1,NA,NA
"GAMBRILL (D MD-5)",1,1,0,0,0,1,0,0,0,0,1,1,0,1,1,NA,NA,NA,1,1,1,1,1,0,0,0,0,NA,0,1,NA,0,1,0,1,1,1,1,1,0,NA,NA,NA,0,1,1,0,0,NA,1,0,1,0,0,NA,1,NA,1,0,0,NA,0,0,0,0,1,1,0,0,0,NA,0,0,1,0,1,1,0,1,0,1,1,NA,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0
"ZIHLMAN (R MD-6)",1,1,NA,1,1,0,1,NA,NA,0,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,1,NA,NA,1,0,0,0,0,NA,NA,NA,NA,NA,0,1,NA,1,1,NA,NA,0,1,NA,1,1,0,0,NA,1,NA,NA,0,1,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,NA,1,0,NA,NA,NA,1,1,0,1,NA,1,1,0,1,NA,0,1,0,0,1,1,1,1,1,1,1,0,0
"TREADWAY (R MA-1)",1,1,1,1,1,0,1,1,1,0,1,NA,1,1,1,NA,1,NA,0,1,NA,1,0,1,1,1,1,0,1,1,0,1,0,0,1,1,0,0,0,NA,NA,NA,0,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,0,NA,1,1,1,1,1,1,NA,1,0,1,NA,NA,1,1,1,1,1,1,1,0,0,0,1,0,0,NA,0,0,0,0,0,0,NA,1,0,0,0,1,0,1,1,0,0,1,NA,NA
"KAYNOR (R MA-2)",1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRANFIELD (D MA-2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,NA,NA,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,NA,0,1,1,NA,1,1,NA,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0
"FOSS (R MA-3)",1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,NA,1,NA,NA,NA,1,1,0,1,1,1,1,0,1,1,NA,1,0,0,1,1,0,0,0,0,0,0,0,0,NA,1,1,1,1,NA,NA,NA,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,NA,1,0,1,1,0,0,1,1,0,0,0,1,1,1,1,0,1,1,NA,NA
"STOBBS (R MA-4)",NA,1,1,1,1,0,1,1,1,0,1,NA,1,NA,1,0,1,NA,NA,1,1,1,NA,NA,1,1,1,0,1,0,NA,1,0,0,1,1,0,0,NA,NA,NA,NA,NA,0,1,1,1,1,NA,NA,1,1,1,1,NA,0,NA,NA,1,1,NA,NA,NA,NA,1,0,1,NA,NA,1,1,1,1,1,1,NA,0,NA,NA,1,0,0,NA,NA,NA,NA,0,0,0,1,1,1,0,0,1,0,NA,1,0,0,1,1,1
"ROGERS (R MA-5)",1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,1,0,0,0,NA,NA,NA,NA,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,NA,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,NA,0,1,0,0,0,1,1,0,0,0,0,0,NA,1,0,1,NA,1,1
"ANDREW (R MA-6)",1,NA,1,1,1,0,1,1,0,0,1,NA,1,NA,1,0,1,0,1,1,NA,1,0,1,1,1,1,0,1,0,0,1,0,0,1,1,0,0,NA,0,NA,NA,NA,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,1,1,1,0,1,0,1,NA,NA,1,1,1,1,0,1,NA,0,0,0,1,0,0,0,1,0,NA,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,NA,NA
"CONNERY (D MA-7)",1,1,1,0,0,1,1,0,0,0,1,NA,1,NA,1,0,1,0,1,0,NA,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,0,1,NA,NA,NA,0,1,1,1,0,0,NA,1,0,1,0,0,NA,0,0,0,1,1,NA,NA,0,0,0,1,1,0,0,0,NA,0,0,NA,0,0,0,NA,0,0,1,1,0,NA,1,1,1,1,1,1,0,1,1,1,1,1,1,NA,0,0,1,0,0
"DALLINGER (R MA-8)",1,1,1,1,1,0,1,0,0,0,1,0,1,NA,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,1,1,0,0,NA,0,0,0,0,0,1,1,1,1,1,0,NA,1,0,0,NA,0,1,1,1,1,NA,NA,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,NA,1,0,1,1,0,0,1,1,1,0,0,0,0,1,1,0,0,1,NA,NA
