"","Vote 1","Vote 2","Vote 3","Vote 4","Vote 5","Vote 6","Vote 7","Vote 8","Vote 9","Vote 10","Vote 11","Vote 12","Vote 13","Vote 14","Vote 15","Vote 16","Vote 17","Vote 18","Vote 19","Vote 20","Vote 21","Vote 22","Vote 23","Vote 24","Vote 25","Vote 26","Vote 27","Vote 28","Vote 29","Vote 30","Vote 31","Vote 32","Vote 33","Vote 34","Vote 35","Vote 36","Vote 37","Vote 38","Vote 39","Vote 40","Vote 41","Vote 42","Vote 43","Vote 44","Vote 45","Vote 46","Vote 47","Vote 48","Vote 49","Vote 50","Vote 51","Vote 52","Vote 53","Vote 54","Vote 55","Vote 56","Vote 57","Vote 58","Vote 59","Vote 60","Vote 61","Vote 62","Vote 63","Vote 64","Vote 65","Vote 66","Vote 67","Vote 68","Vote 69","Vote 70","Vote 71","Vote 72","Vote 73","Vote 74","Vote 75","Vote 76","Vote 77","Vote 78","Vote 79","Vote 80","Vote 81","Vote 82","Vote 83","Vote 84","Vote 85","Vote 86","Vote 87","Vote 88","Vote 89","Vote 90","Vote 91","Vote 92","Vote 93","Vote 94"
"BURTON (NA NC-2)",NA,0,0,1,1,0,1,1,0,1,0,0,1,1,1,1,0,NA,1,0,1,1,0,1,NA,1,1,0,0,1,NA,1,1,1,NA,1,1,1,1,1,0,0,1,1,1,0,0,0,NA,NA,0,1,NA,0,1,1,0,1,NA,NA,1,1,0,1,1,1,1,1,1,0,1,NA,1,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OUTLAW (NA NC-2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,1,1,1
"HALL (NA NC-3)",0,1,0,1,1,0,1,1,0,0,NA,NA,1,0,1,NA,0,1,1,0,1,1,0,0,0,1,0,0,0,1,NA,1,1,1,0,1,1,1,1,1,0,0,1,NA,1,0,0,NA,1,1,0,1,NA,NA,1,NA,0,1,NA,NA,1,NA,0,1,1,1,1,NA,1,0,1,1,1,0,NA,1,0,NA,0,1,NA,NA,0,NA,NA,0,NA,0,0,1,0,1,NA,1
"SPAIGHT (NA NC-4)",0,0,0,1,1,0,1,1,NA,NA,NA,0,1,0,1,1,0,1,1,0,1,1,0,0,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,1,1,0,NA,1,0,NA,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,0,NA,0,0,0,0,0,1,1,0,1,1,0,1
"HOOKS (NA NC-5)",1,1,0,1,1,0,NA,NA,0,0,1,1,1,0,1,1,0,1,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,1,0,1,1,1,1,NA,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0,1,0,NA,NA,1,1,1,1,1,0,1,1,0,1,NA,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1
"EDWARDS (NA NC-6)",NA,0,0,1,1,0,1,1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0,1,NA,1,1,0,0,1,0,NA,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,NA,0,1,NA,NA,NA,NA,0,0,0,0,0,0,1,0,0,1,1,1
"CULPEPPER (NA NC-7)",1,1,0,1,1,0,1,1,0,0,0,1,1,0,1,1,0,NA,1,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,0,0,1,1,NA,1,1,NA,1,1,1,0,1,0,1,0,1,0,1,1,NA,NA,1,1,1,0,NA,1,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1
"MANGUM (NA NC-8)",0,0,0,1,1,0,1,1,NA,0,NA,0,1,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,NA,1,NA,1,1,1,0,0,0,0,1,1,0,1,1,0,1,1,1,0,1,0,1,0,1,NA,0,NA,NA,1,1,0,0,0,0,0,0,0,0,1,0,1,NA,1
"SAUNDERS (NA NC-9)",NA,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,NA,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,1,0,0,1,1,1,1,1,NA,NA,1,NA,NA,NA,1,1,1,1,0,1,1,1,1,0,0,1,0,NA,NA,0,1,NA,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1
"LONG (NA NC-10)",1,1,0,1,1,0,1,1,0,1,0,1,0,0,1,0,0,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,NA,0,0,1,1,0,0,1,0,1,0,1,1,0,1,1,1,1,0,NA,1,0,1,0,1,1,NA,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1
"CONNOR (NA NC-11)",1,0,0,0,1,0,1,1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,1,1,1,0,NA,1,0,1,1,0,1,NA,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1
"VANCE (NA NC-12)",0,1,1,0,0,1,0,1,0,0,1,0,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,0,1,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,1,0,NA,0,0,0,NA,0,1,NA,0,1,1,0,1,1,0,1,0,1,NA,1,1,0,1,0,NA,0,0,0,NA,NA,0,0,1,0,0,1,1
"WILLIAMS (NA NC-13)",0,0,NA,1,1,0,1,1,0,1,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,NA,1
"GAZLAY (NA OH-1)",1,0,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,1,NA,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,NA,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,NA,0,NA,1,0,NA,NA,NA,NA,NA,NA,0,0,1,0,NA,0,1,NA,NA,NA,NA,NA,0,1,1,NA,1,1,1,1,1,NA,0,NA,NA,NA,NA
"ROSS (NA OH-2)",NA,0,1,0,0,1,0,1,1,NA,0,NA,0,0,1,0,NA,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,1,1,1,1,1,0,1,NA,1,1
"MCLEAN (NA OH-3)",1,1,1,0,0,1,NA,NA,1,1,0,1,0,0,1,0,NA,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,NA,0,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,NA,0,1,1,1,1,1,1,1,0,0,1,1,1,1,NA
"VANCE (NA OH-4)",1,1,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1,0,1,0,1,NA,1,NA,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1
"CAMPBELL (NA OH-5)",1,1,1,0,0,1,1,1,1,1,NA,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,1,1,0,NA,1,0,0,0,0,0,0,1,0,NA,0,1,0,0,1,NA,NA,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1
"MCARTHUR (NA OH-6)",0,1,1,0,0,1,0,0,1,1,0,1,0,0,NA,NA,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,NA,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0
"VINTON (NA OH-7)",0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,NA,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,NA,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1
"WILSON (NA OH-8)",1,1,1,0,0,1,0,0,NA,1,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,1,NA,NA,NA,0,0,0,0,0,1,0,1,1,0,1,1,NA,0,0,0,0,0,1,0,1,0,1,0,0,NA,1,NA,0,1,1,1,1,1,1,1,0,1,0,1,1,1,NA
"BEECHER (NA OH-9)",1,1,1,0,0,1,0,0,1,0,0,NA,0,0,1,NA,NA,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,NA,0,0,1,1,1,1,1,0,NA,0,NA,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1,0,1,NA,0
"PATTERSON (NA OH-10)",1,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1
"WRIGHT (NA OH-11)",0,0,1,NA,NA,NA,0,0,1,1,0,NA,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,0,1,1,0,1,1,0,0,1,1,1,1,0
"SLOANE (NA OH-12)",1,1,1,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1
"WHITTLESEY (NA OH-13)",1,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,NA,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1
"BARTLEY (NA OH-14)",1,0,1,0,0,1,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,1,0,0,1,1,0,NA,0,1,1,0,NA,0,0,0,1,0,0,0,NA,0,1,1,0,NA,0,1,0,1,0,1,NA,NA,0,0,0,NA,NA,NA,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,NA,1,1,1,NA,1,0,1,1,1,1,1,1,0,0,1,NA,NA,1,NA
"BRECK (NA PA-1)",0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,NA,NA,1,NA,0,1,1,1,1,0,1,1,NA,1,1,NA,1,1,NA,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,NA,NA,NA,0,1,0,1,1,1,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,0,NA,1,1,1,1,0,0,1,0,0,NA,0
"HEMPHILL (NA PA-2)",1,1,1,0,0,1,NA,NA,1,1,0,NA,NA,NA,NA,NA,1,0,0,NA,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,NA,1,1,0,NA,1,NA,1,NA,1,1,NA,1,1,1,0,0,1,0,0,0,1,0,0,0,1,NA,NA,NA,1,NA,1,1,NA,1,1,1,1,1,0,0,1,NA,NA,1,0
"MILLER (NA PA-3)",NA,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,0,0,1,0,0,1,NA,0,0,1,1,1,0,0,0,0,1,1,NA,1,0,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,NA,0,1,0,1,1,1,NA,1,NA,NA,1,1,1,1,1,1,1,0,1,1,1,NA
"EDWARDS (NA PA-4)",1,1,NA,0,NA,1,0,0,1,NA,NA,0,1,0,1,1,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,0,1,0,1,NA,1,1,1,0,1,NA,NA,NA,1,1,0,0,1,0,0,0,0,1,0,0,1,NA,1,1,1,NA,1,0,1,NA,NA,NA,NA,NA,1,NA,NA,0,0,NA,0
"WAYNE (NA PA-4)",0,0,1,0,0,1,0,0,1,1,0,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,NA,1,1,0,1,1,1,1,1,1,1,0,0,1,1,NA
"BUCHANAN (NA PA-4)",NA,1,1,NA,NA,NA,0,0,1,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,0,1,0,NA,1,0,0,0,0,0,NA,0,1,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1,0,0,1,NA,1,1,1,1,0,0,0,0,0,0,1,0,NA,0,1,NA,NA,NA,NA,NA,1,0,0,NA,0,0,1,NA,1,1,0,1,1,1,1
"MARKLEY (NA PA-5)",NA,1,NA,1,1,0,0,0,1,1,0,NA,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,NA,1,1,0,1,NA,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,NA,1,0,NA,NA,1,1,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA
"HARRIS (NA PA-6)",0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,0,NA,NA,1,1
"WILSON (NA PA-7)",0,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,1,1,0,1,1,1,1,0,NA,1,1,1,1,1,1,0,1,1,1,1
"UDREE (NA PA-7)",0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,NA,NA,1,0,1,1,1,0,0,1,0,NA,NA,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,NA,1,1,1,0
"INGHAM (NA PA-8)",NA,1,1,0,0,1,0,0,1,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,0,1,0,1,NA,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,NA,1,1,1,0,1,1,NA,1,1,1,1,0,1,1,NA,NA
"ROGERS (NA PA-8)",NA,1,1,0,0,1,0,0,1,NA,0,1,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WOLF (NA PA-8)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,1,1,1,0,1,0,1,NA,1,1
"ELLIS (NA PA-9)",1,0,1,0,0,1,1,NA,1,1,NA,NA,0,1,1,0,NA,0,0,1,0,0,1,1,NA,NA,NA,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,NA,1,1,1,0,0,1,0,0,0,1,0,1,1,NA,0,0,NA,0,0,0,NA,1,1,0,1,0,1,1,NA,NA,1,NA,NA,1,1,NA,1,1,1,1,0,0,0,1,NA
"KREMER (NA PA-9)",0,0,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,1,1,NA,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,NA,1,1,1,1,0,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
"MCKEAN (NA PA-9)",1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,NA,NA,0,0,0,1,1,0,0,0,0,NA,1,0,1,0,0,0,1,1,0,0,0,1,1,1,NA,0,0,NA,NA,0,0,0,NA,0,1,1,0,1,1,0,0,0,0,0,0,NA,0,0,0,1,NA,NA,NA,NA,NA,1,NA,0,1,NA,1,1,1,1,1,0,1,1,1,NA
"MITCHELL (NA PA-10)",0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,NA,0,1,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,1,1
"WILSON (NA PA-11)",NA,0,1,0,0,1,0,0,1,1,0,1,NA,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,1,NA,NA,NA,NA,1,0,0,1,NA,0,NA,1,0,1,1,1,0,0,0,0,0,0,0,0,NA,0,1,0,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
"FINDLAY (NA PA-11)",NA,NA,NA,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,1,1,1,0,NA,0,0,1,1,0,NA,1,0,1,1,1,0,0,0,0,0,0,0,0,NA,0,1,NA,NA,NA,NA,1,NA,1,1,0,0,1,0,NA,1,1,0,1,1,1,1
"BROWN (NA PA-12)",1,0,1,0,0,1,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,NA,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,NA,0,1,1,1,0,1,NA,1,1,1,NA,NA,NA,NA,NA,1,1,0,0,0,0,NA
"TOD (R PA-13)",0,1,1,0,0,1,0,0,1,1,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1,NA,0,1,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"THOMSON (NA PA-13)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,0,1,1,0,1,1,1,NA,1,1,1
"STEWART (NA PA-14)",0,1,1,0,0,1,NA,NA,1,NA,0,1,0,NA,1,0,NA,0,0,1,0,0,1,1,0,NA,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,1,NA,NA,NA,0,NA,NA,NA,NA,0,NA,1,0,1,NA,1,0,0,0,0,0,0,NA,0,0,0,1,NA,1,NA,NA,1,1,NA,0,1,1,1,1,1,1,NA,NA,1,1,1,NA
"PATTERSON (NA PA-15)",0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1
"FORWARD (NA PA-16)",NA,1,1,0,0,1,0,0,1,1,0,NA,0,NA,1,0,NA,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,NA,NA,NA,NA,NA,1,NA,1,1,NA,1,1,0,1,1,1,0,0,1,0,0,0,0,1,NA,0,1,NA,1,1,0,1,1,NA,1,1,1,1,1,1,1,0,1,0,1,NA,NA
"ALLISON (NA PA-16)",0,0,1,0,0,1,0,0,1,1,0,1,NA,1,1,0,NA,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,NA,1,1,0,NA,1,1,1,1,1,1,0,0,0,0,NA,0,NA,0,NA,0,1,NA,NA,NA,NA,NA,1,1,0,1,1,1,1,1,1,1,0,1,1,1,NA
"PLUMER (NA PA-17)",1,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1
"FARRELLY (NA PA-18)",NA,1,1,0,0,1,NA,NA,1,1,NA,1,0,1,0,NA,1,0,1,NA,NA,0,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,NA,1,1,1,1,NA,0,1,NA,NA,NA,1,1,0,0,0,0,0,0,NA,0,NA,0,1,NA,NA,NA,NA,NA,1,0,NA,NA,1,1,1,1,1,1,0,NA,NA,NA,NA
"EDDY (NA RI-98)",0,1,1,0,0,1,NA,0,1,1,0,NA,1,NA,NA,1,0,0,0,1,0,1,1,1,0,1,1,1,1,0,NA,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,1,NA,1,0,0,1,1,0,1,1,1,0,NA,1,0,1,1,0,1,NA,0,1,1,NA,NA,1,0,1,1,0,0,0,0,NA,NA,0,0,1,1,1,1,0
"DURFEE (NA RI-98)",0,1,1,0,0,1,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,NA,1,1,1,NA,NA,0,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,0,1,NA,NA,NA,1,0,1,NA,NA,1,1,0,1,1,0,0,1,NA,NA,1,0
"POINSETT (NA SC-1)",NA,1,1,0,0,1,0,0,0,0,1,0,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,NA,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,0,NA,0,1,1,0,NA,1,0,1,1,1,1,0,0,1,NA,0
"HAMILTON (NA SC-2)",1,1,NA,0,0,1,0,0,0,0,1,NA,1,1,1,NA,1,1,1,0,1,1,0,0,0,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,1,1,1,NA,0,1,0,1,NA,NA,NA,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,0,NA,0,1,1,0,0,0,1,0,0,1,1,0,0,1,NA,0
"CAMPBELL (NA SC-3)",NA,1,0,1,1,0,NA,1,0,0,0,1,1,1,1,1,NA,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,NA,NA,NA,1,0,1,1,1,1,1,1,1,0,NA,1,0,NA,1,0,NA,0,1,NA,NA,0,0,0,0,0,0,0,1,0,1,NA,NA
"GOVAN (NA SC-4)",NA,0,1,0,0,1,0,0,0,0,NA,NA,1,1,NA,NA,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,1,0,NA,0,1,0,1,1,1,1,1,1,NA,0,NA,1,0,1,1,0,NA,NA,1,NA,NA,0,0,0,0,0,1,1,0,0,1,NA,NA
