"","Vote 1","Vote 2","Vote 3","Vote 4","Vote 5","Vote 6","Vote 7","Vote 8","Vote 9","Vote 10","Vote 11","Vote 12","Vote 13","Vote 14","Vote 15","Vote 16","Vote 17","Vote 18","Vote 19","Vote 20","Vote 21","Vote 22","Vote 23","Vote 24","Vote 25","Vote 26","Vote 27","Vote 28","Vote 29","Vote 30","Vote 31","Vote 32","Vote 33","Vote 34","Vote 35","Vote 36","Vote 37","Vote 38","Vote 39","Vote 40","Vote 41","Vote 42","Vote 43","Vote 44","Vote 45","Vote 46","Vote 47","Vote 48","Vote 49","Vote 50","Vote 51","Vote 52","Vote 53","Vote 54","Vote 55","Vote 56","Vote 57","Vote 58","Vote 59","Vote 60","Vote 61","Vote 62","Vote 63","Vote 64","Vote 65","Vote 66","Vote 67","Vote 68","Vote 69","Vote 70","Vote 71","Vote 72","Vote 73","Vote 74","Vote 75","Vote 76","Vote 77","Vote 78","Vote 79","Vote 80","Vote 81","Vote 82","Vote 83","Vote 84","Vote 85","Vote 86","Vote 87","Vote 88","Vote 89","Vote 90","Vote 91","Vote 92","Vote 93","Vote 94","Vote 95"
"LONG (R NC-10)",1,1,0,0,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,NA,1,0,0,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CONNOR (R NC-11)",1,1,0,1,1,0,1,0,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,1,1,0,0,1,1,NA,0,1,1,0,1,0,NA,0,1,1,0,1,0,0,0,1,0,0,0,0,NA,0,1,1,0,0,1,NA,NA,1
"WALKER (R NC-12)",NA,1,NA,NA,0,0,1,1,1,0,0,1,1,1,1,0,NA,NA,NA,0,0,1,1,1,0,0,0,1,0,NA,1,1,NA,1,0,NA,NA,0,1,1,1,0,0,0,0,1,0,1,1,1,0,1,1,0,1,NA,0,0,0,0,NA,0,1,NA,NA,0,1,1,1,0,1,NA,1,1,NA,0,1,1,1,0,NA,1,0,0,0,0,1,NA,1,NA,1,0,NA,NA,1
"WILLIAMS (R NC-13)",1,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1
"ROSS (R OH-1)",1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,NA,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,NA,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,1,1,NA,0,0,1,0,1,1
"CAMPBELL (R OH-2)",1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,NA,0,1,0,0,0,0,1,1,1,0,1,1,1,0,0,1,1,0,NA,1,1,0,0,0,1,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1,1
"BARBER (R OH-3)",1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,1,1,0,0,1,1,1,1,0,1,1,0,1,0,1,0,NA,NA,0,0,1,0,NA,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,1,1,0,1,0,1,0,1,1,NA,NA,NA,NA,NA,1,0,0,NA,1,0
"CHAMBERS (R OH-4)",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,0,1,1,0,1,0,0,0,1,0
"VANCE (R OH-5)",0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,NA,0,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,0,NA,NA,0,1,1,0,1,0,0,1,1,0
"SLOANE (R OH-6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,NA,NA,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1
"SERGEANT (Federalist PA-1)",NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,NA,0,1,0,1,1,NA,NA,NA,NA,1,1,1,0,1,1,1,NA,NA,NA,NA,0,0,0,0,0,0,0,1,1,NA,0,1,0,NA,1,1,0,0,NA,1,0,0,1,1,1,1,0,0,1,0,0,NA,NA,NA,NA,NA,0,0,1,0,1,NA,NA,1,NA,1,0,0,NA,0,NA,NA,0,1,1
"HEMPHILL (Federalist PA-1)",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,1,1,0,1,0,1,NA,1,1,NA,0,1,0,1,1,NA,0,0,0,0,1,1,1,0,0,NA,0,0,1,NA,NA,1,1,0,1,0,1,1,1,0,1,NA,NA,0,1,1,1,1,0,1,NA,0,1,0,NA,1,1,0,0,1,NA
"EDWARDS (Federalist PA-1)",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,0,NA,1,NA,0,0,0,1,1,0,0,0,0,0,1,1,1,0,NA,1,0,0,1,1,1,1,0,NA,NA,NA,0,1,1,0,NA,NA,NA,NA,NA,1,1,1,0,1,NA,1,1,0,0,NA,NA,NA,0,1,0
"MILNOR (Federalist PA-1)",NA,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,1,0,0,1,NA,1,1,1,NA,0,1,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,0,NA,0,1,0,1,1,0,0,1,0,1,1,1,1,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FORREST (Federalist PA-1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,1,0,NA,0,1,NA,0,NA,NA,0,0,1,NA,NA,NA,0,NA,NA,NA
"GROSS (R PA-2)",1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,NA,0,NA,1,1,1,1,1,1,0,0,1,0,1,1,NA,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,NA,1,1,0,0,0,0,NA,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,1,NA,NA,NA,NA,NA
"DARLINGTON (R PA-2)",1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,NA,1,0,1,1,1,1,0,0,1,0,1,1,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,NA,0,NA,0,NA,0,1,0,1,0,0,1,NA,NA,NA,1,0,1,1,1,1,1,0
"BUCHANAN (Federalist PA-3)",1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,NA,1,0,1,0,1,1,0,1,0,0,1,1,NA,0,0,0,0,1,1,1,0,0,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,1,0,0,1,0,NA,0,0,1,0,1,0,1,NA,NA,0,0,0,1,NA
"PHILLIPS (Federalist PA-3)",1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,NA,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,NA,0,0,0,0,0,1,1,1,0,0,0,0,0,NA,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,NA,0,0,0,1,NA
"MITCHELL (R PA-4)",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,1,0
"FINDLAY (R PA-5)",1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,NA,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,NA,0,0,1,0,0,1,1,0,NA,1,0,1,1,0,1,NA,0,1,1,NA,NA,1,0,1,1,1,0,1,0
"MCSHERRY (Federalist PA-5)",1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,NA,0,0,0,1,1,0,1,1,1,0,1,0,1,0,0,1,1,1,0,1,1,NA,0,0,0,1,0
"ROGERS (R PA-6)",1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,NA,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,NA,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,NA,0,0,0,0,1,1,0,1,1,1,0,1,1,NA,1,0,1,1,0,1,NA,NA,NA,1,NA,NA,NA,NA
"MOORE (R PA-6)",1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,0,1,1,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"INGHAM (R PA-6)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,1,0,0,1,0,1,NA,0,1,0,1,0,0,0,NA,1,1,0,1,0
"WORMAN (Federalist PA-7)",1,0,1,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UDREE (R PA-7)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,1,1,0,1,1,1,0,0,1,0,0,1,1,0,NA,1,1,0,1,1
"TOD (R PA-8)",1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,NA,1,1,NA,0,1,0,1,0,1,1,1,1,0,NA,0,1,1,0,0,1,NA
"BROWN (R PA-9)",1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,NA,1,1,0,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,1,0,1,1,NA,1,0,0,1,1,0,0,NA,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,NA,0,1,NA,0,0,1,1,NA,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0,1,NA,0,0,1,0
"MURRAY (R PA-10)",1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,NA,0,1,1,1,1,1,0,0,0,NA,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,0,1,0,0,1,1,0,1,1,0,0,0,1,0,0,1,NA,1,0,1,0,NA,0,1,0,1,0
"DENISON (R PA-10)",1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,NA,NA,1,1,0,NA,0,1,1,1,0,1,0,1,1,0,0,1,0,NA,1,0,NA,1,1,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,1,1,0,1,NA,1,0,0,0,1,NA,NA,NA,NA,0,1,NA,1,0,0,1,0,0,0,1,0,0,0,1,1,1,NA
"PLUMER (R PA-11)",1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1,1,NA,1,1,0,1,0,0,1,0,NA,1,1,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0
"PATTERSON (R PA-12)",1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,1,0,1,1,0,0,1,1,1,0,0,1,1,0,1,1,0,1,0,0,0,1,1
"STEWART (R PA-13)",1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,NA,0,1,0,1,1,NA,0,0,0,1,1,NA,1,1,NA,NA,0,0,NA,1,0,NA,1,1,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,NA,0,0,0,1,1,0,1,1,1,0,1,NA,1,0,1,NA,0,0,1,1,1,0,0,1,NA,0,1,NA,NA,1,NA,NA,NA,NA,1
"BALDWIN (R PA-14)",0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,1,NA,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,NA,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FORWARD (R PA-14)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,1,NA,1,1,NA,1,1,0,1,1,1,0,1,NA,1,1,0,0,1,NA
"FARRELLY (R PA-15)",1,0,0,1,0,1,1,0,1,1,0,1,0,0,0,1,NA,NA,1,1,0,0,0,NA,1,1,1,0,0,1,NA,1,0,1,1,1,NA,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,1,NA,0,1,1,1,1,0,0,0,0,0,1,1,0,1,NA,0,0,1,NA,1,NA,0,1,1,1,0,1,NA,NA,NA,0,0,1,1
"EDDY (R RI-98)",1,0,0,1,1,1,1,0,0,0,NA,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0,1,0,0,1,1,1,NA,1,1,1,0,1,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,0,1,1,1,NA,0,1,1,0,0,0,1,1,1,1,NA,1,0,0,1,0,1,1,1,0,NA,1,0,1,NA
"DURFEE (R RI-98)",1,0,0,1,1,1,1,0,0,NA,1,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,NA,NA,0,0,1,1,1,1,1,0,NA,0,0,1,0,1,1,0,0,1,0,1,1,NA,0,1,NA,0,1,1,NA,0,0,0,0,0,NA,NA,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,NA,1,1,0,1,0,1,0,1,1,1,0,0,1,1
"POINSETT (R SC-1)",1,1,0,0,0,0,1,1,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,NA,NA,NA,NA,1,1,1,1,1,NA,1,NA,NA,NA,1,0,1,0,0,0,1,1,1,1,NA,NA,NA,NA,NA,NA,0,0,1,0,0,1,0,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,1,0,NA,0,1,1,0,1,NA
"LOWNDES (R SC-2)",NA,1,0,0,0,0,1,1,1,NA,0,1,NA,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,NA,1,1,1,1,1,0,0,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HAMILTON (R SC-2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,1,1,0,1,1,1,NA,1,0,0,1,0,1,0,1,0,1,1,0,1,NA
"MITCHELL (R SC-3)",1,NA,0,0,NA,0,1,0,1,1,1,1,1,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,1,1,0,0,NA,NA,NA,NA,1,0,1,NA,0,NA,NA,0,1,1,0,1,0,NA,NA,NA,1,0,0,1,0,NA,1,1,0,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,1,0,0,NA,NA
"OVERSTREET (R SC-4)",1,1,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,NA,0,1,0,1,0,0,NA,1,0,1,0,1,1,0,1,1,NA,NA,NA,NA,1,1,NA,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,NA,1,NA,NA,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOVAN (R SC-4)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,1,NA,0,NA,NA,NA,NA,NA,0,0,1,NA,1,0,1,0,1,1,NA,1,NA
"TUCKER (R SC-5)",1,1,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,1,NA,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,NA,0,0,0,NA,1,0,1,1,1,0,NA,NA,NA,NA
"MCDUFFIE (R SC-6)",1,1,0,1,0,NA,1,0,1,1,1,1,1,NA,1,0,0,0,1,1,0,NA,NA,0,0,NA,NA,1,0,1,0,1,1,NA,1,0,0,0,1,0,NA,1,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,0,0,1,1,1,1,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,1,1,1,0,0,1,1
"WILSON (R SC-7)",1,1,0,1,NA,NA,1,0,1,1,0,1,1,1,1,0,0,0,0,NA,1,0,1,0,0,1,NA,NA,1,1,1,1,0,0,1,1,1,0,1,0,NA,NA,NA,1,0,1,1,0,0,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,0,1,NA,0,NA,0,0,1,1,0,0,1,0,0,0,1,1,0,0,NA,1,0,NA,1,0,0,0,1,1,1
"GIST (R SC-8)",1,1,0,1,1,0,1,0,1,1,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,1,NA,NA,1,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,1,0,0,NA,0,0,1,1,0,0,0,1,1,NA
"BLAIR (R SC-9)",1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,NA,0,0,1,0,0,0,0,1,0,1,NA,1,0,0,1,0,NA,0,1,1,1,1,0,0,0,1,1,0,0,NA,0,1,1,1,0,1,0,0,0,0,0,0,NA,1,1,0,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CARTER (R SC-9)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,1,1,0,NA,NA,1,0,0,0,NA,1,0,1,0,1,0,NA,1,NA
"RHEA (R TN-1)",1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,1,1,0,1,1,0,1,0,0,1,0
"COCKE (R TN-2)",1,NA,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,1,0,0,0,1,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,NA,0,0,1,0,0,1,0,0,0,NA,1,0,NA,0,NA,NA,NA,NA,0,0,0,1,NA,NA
"JONES (R TN-3)",0,1,0,0,1,0,1,0,0,0,0,0,0,NA,1,0,0,0,1,1,NA,1,0,NA,1,0,0,1,0,0,NA,1,1,1,0,0,NA,NA,NA,1,1,0,NA,NA,NA,NA,0,1,1,0,1,0,0,0,1,0,NA,1,1,1,1,1,1,1,1,0,0,1,1,NA,NA,NA,1,0,1,0,0,1,1,NA,NA,0,0,0,1,0,1,NA,0,0,0,0,0,1,NA
"ALLEN (R TN-4)",1,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,0,NA,1,1,1,1,1,1,1,0,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,1,0,0,1,1,1,1,0,0,1,NA,NA,1,1,1,1,1,NA,1,1
"CANNON (R TN-5)",0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,NA,0,1,0,0,0,1,1,NA,1,1,1,1,0,0,1,1,0,1,0,0,1,1,1,1,0,0,0,0,NA,0,0,0,1,1,0,1,1,1,0,1,0,NA,1
"BRYAN (R TN-6)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MALLARY (R VT-1)",1,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,NA,1,1,1,1,0,1,NA,0,1,NA,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1,NA,1,1,NA,1,0,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,NA,0,NA,NA,1
